,country,points
0,Australia,100
1,US,100
2,Portugal,100
3,Italy,100
4,France,100
5,Austria,98
6,Spain,98
7,Germany,98
8,Argentina,97
9,Hungary,97
10,England,95
11,South Africa,95
12,Chile,95
13,New Zealand,95
14,Israel,94
15,Canada,94
16,Greece,93
17,India,93
18,Morocco,93
19,Uruguay,92
20,Mexico,92
21,Slovenia,92
22,Georgia,92
23,Romania,92
24,Turkey,92
25,Bulgaria,91
26,Lebanon,91
27,Moldova,91
28,Croatia,91
29,Switzerland,90
30,Luxembourg,90
31,Serbia,89
32,Brazil,89
33,China,89
34,Macedonia,89
35,Cyprus,89
36,Czech Republic,89
37,Armenia,88
38,Bosnia and Herzegovina,88
39,Ukraine,88
40,Slovakia,87
41,Peru,86
42,Egypt,84
