country,points,price,num
Argentina,86.71026315789474,24.510117145899894,3800
Armenia,87.5,14.5,2
Australia,88.58050665521684,35.43766346992153,2329
Austria,90.10134529147982,30.76277241872097,3345
Bosnia and Herzegovina,86.5,12.5,2
Brazil,84.67307692307692,23.76595744680851,52
Bulgaria,87.93617021276596,14.645390070921986,141
Canada,89.36964980544747,35.71259842519685,257
Chile,86.4935152057245,20.786458333333332,4472
China,89.0,18.0,1
Croatia,87.21917808219177,25.450704225352112,73
Cyprus,87.18181818181819,16.272727272727273,11
Czech Republic,87.25,24.25,12
Egypt,84.0,,1
England,91.58108108108108,51.68115942028985,74
France,88.84510931064138,41.139120162016205,22093
Georgia,87.68604651162791,19.321428571428573,86
Germany,89.85173210161663,42.25754716981132,2165
Greece,87.28326180257511,22.364425162689805,466
Hungary,89.1917808219178,40.648275862068964,146
India,90.22222222222223,13.333333333333334,9
Israel,88.47128712871287,31.768916155419223,505
Italy,88.56223132036847,39.663769658271256,19540
Lebanon,87.68571428571428,30.685714285714287,35
Luxembourg,88.66666666666667,23.333333333333332,6
Macedonia,86.83333333333333,15.583333333333334,12
Mexico,85.25714285714285,26.785714285714285,70
Moldova,87.20338983050847,16.74576271186441,59
Morocco,88.57142857142857,19.5,28
New Zealand,88.3030303030303,26.93178519593614,1419
Peru,83.5625,18.0625,16
Portugal,88.25021964505359,26.21825641025641,5691
Romania,86.4,15.241666666666667,120
Serbia,87.5,24.5,12
Slovakia,87.0,16.0,1
Slovenia,88.06896551724138,24.8125,87
South Africa,88.05638829407566,24.668986852281517,1401
Spain,87.28833709556058,28.215274608245853,6645
Switzerland,88.57142857142857,85.28571428571429,7
Turkey,88.08888888888889,24.633333333333333,90
US,88.56372009393806,36.5734635584631,54504
Ukraine,84.07142857142857,9.214285714285714,14
Uruguay,86.75229357798165,26.40366972477064,109
